id,observed_on,user_id,user_name,quality_grade,latitude,longitude,scientific_name,common_name
3687,2009-11-22,308,"",research,37.3974533081,-122.3164215088,Amanita phalloides,Deathcap
3757,2009-11-28,1,Ken-ichi Ueda,research,37.770614624,-122.1232376099,Amanita phalloides,Deathcap
6163,2010-03-20,382,"",research,34.37733078,-118.4418029785,Amanita phalloides,Deathcap
37526,2011-10-28,1,Ken-ichi Ueda,research,37.1959117336,-122.2948265076,Amanita phalloides,Deathcap
38441,2011-11-04,2873,James Maughn,research,37.0277182754,-122.1562957764,Amanita phalloides,Deathcap
38963,2011-11-12,1,Ken-ichi Ueda,research,37.842894,-122.190931,Amanita phalloides,Deathcap
39088,2011-11-13,477,Scott Loarie,research,37.1004645102,-122.2782611847,Amanita phalloides,Deathcap
39718,2011-11-19,181,Dan Rademacher,research,38.2771568298,-122.2383575439,Amanita phalloides,Deathcap
40260,2011-11-26,1,Ken-ichi Ueda,research,37.9436836243,-122.1289901733,Amanita phalloides,Deathcap
40345,2011-11-25,1213,Dave Barry,research,38.6366344623,-122.939157486,Amanita phalloides,Deathcap
93631,2009-11-25,2991,"",research,36.82092,-121.734653,Amanita phalloides,Deathcap
157404,2012-12-04,2580,Sandi Funke,research,38.570197,-122.688833,Amanita phalloides,Deathcap
158117,2012-12-04,4721,Nicole,research,38.570119,-122.688828,Amanita phalloides,Deathcap
159819,2012-12-08,1,Ken-ichi Ueda,research,37.844527,-122.192371,Amanita phalloides,Deathcap
162310,2012-12-14,2873,James Maughn,research,37.0870873,-122.0638586,Amanita phalloides,Deathcap
171264,2013-01-01,462,Barbara Banfield,research,36.9506634495,-121.7058134079,Amanita phalloides,Deathcap
211064,2010-12-06,9572,Trent,research,36.9998194,-122.0018649,Amanita phalloides,Deathcap
318205,2013-06-26,15080,,research,47.653565,-122.312443,Amanita phalloides,Deathcap
366314,2013-08-09,9572,Trent,research,37.896206,-122.252276,Amanita phalloides,Deathcap
606665,2014-04-02,9572,Trent,research,37.9135,-122.2586666667,Amanita phalloides,Deathcap
634810,2014-04-20,25948,lolo scheiner,research,37.916632,-122.258912,Amanita phalloides,Deathcap
691505,2010-12-06,38530,"",research,37.813852,-122.16615,Amanita phalloides,Deathcap
694380,2014-05-17,3494,Damon Tighe,research,37.8068283333,-122.2600116667,Amanita phalloides,Deathcap
818082,2014-08-05,3494,Damon Tighe,research,37.80562,-122.2583,Amanita phalloides,Deathcap
822030,2014-08-07,3494,Damon Tighe,research,37.8057866667,-122.2581033333,Amanita phalloides,Deathcap
860396,2014-09-02,24754,David Greenberger,research,37.895921,-122.587166,Amanita phalloides,Deathcap
1047040,2014-10-30,9572,Trent,research,37.9093333333,-122.2676666667,Amanita phalloides,Deathcap
1053081,2014-11-02,2873,James Maughn,research,37.05704,-122.091923,Amanita phalloides,Deathcap
1066913,2014-11-02,3494,Damon Tighe,research,38.604766,-123.359428,Amanita phalloides,Deathcap
1067560,2014-11-10,3494,Damon Tighe,research,37.79193,-122.168595,Amanita phalloides,Deathcap
1067561,2014-11-10,3494,Damon Tighe,research,37.79195,-122.16828,Amanita phalloides,Deathcap
1071853,2014-11-11,63398,,research,40.5938833333,-122.3819283333,Amanita phalloides,Deathcap
1100827,2014-11-28,1,Ken-ichi Ueda,research,37.778589,-122.134364,Amanita phalloides,Deathcap
1101019,2014-11-27,9572,Trent,research,36.987583,-122.095326,Amanita phalloides,Deathcap
1101458,2014-11-28,3494,Damon Tighe,research,37.723625,-122.092348,Amanita phalloides,Deathcap
1107506,2014-12-01,2873,James Maughn,research,37.081893,-122.06189,Amanita phalloides,Deathcap
1110712,2014-12-02,3494,Damon Tighe,research,37.7833133333,-122.1420221667,Amanita phalloides,Deathcap
1123759,2014-12-09,62971,"",research,38.136891,-121.275287,Amanita phalloides,Deathcap
1130674,2014-12-14,36991,Hayley Carter,research,37.111582,-121.966352,Amanita phalloides,Deathcap
1131620,2014-12-14,61225,Alan Mond,research,37.8054979351,-122.154570697,Amanita phalloides,Deathcap
1131621,2014-12-14,61225,Alan Mond,research,37.805114,-122.154354,Amanita phalloides,Deathcap
1138237,2014-12-18,16101,Donna Pomeroy,research,37.7550152737,-122.0523104262,Amanita phalloides,Deathcap
1144213,2014-12-20,3494,Damon Tighe,research,37.753345,-122.1304028333,Amanita phalloides,Deathcap
1144253,2014-12-20,3494,Damon Tighe,research,37.7526283333,-122.1415166667,Amanita phalloides,Deathcap
1145851,2014-12-25,61225,Alan Mond,research,37.811894,-122.131272,Amanita phalloides,Deathcap
1147386,2014-12-26,16101,Donna Pomeroy,research,37.4108483333,-122.2615183333,Amanita phalloides,Deathcap
1149751,2014-12-28,25948,lolo scheiner,research,37.753116,-122.131041,Amanita phalloides,Deathcap
1150589,2014-12-21,3494,Damon Tighe,research,37.77297,-122.1296916667,Amanita phalloides,Deathcap
1150606,2014-12-21,3494,Damon Tighe,research,37.7766533333,-122.1327888333,Amanita phalloides,Deathcap
1150612,2014-12-22,3494,Damon Tighe,research,37.7664666667,-122.2728416667,Amanita phalloides,Deathcap
1151216,2014-12-29,19715,Gena Bentall,research,36.8014033333,-121.68387,Amanita phalloides,Deathcap
1159571,2015-01-03,8150,"",research,37.977826,-122.556495,Amanita phalloides,Deathcap
1166960,2015-01-07,25480,Bill Miller,research,38.447577,-122.518311,Amanita phalloides,Deathcap
1270228,2014-12-31,79697,Khue,research,37.892767,-122.242451,Amanita phalloides,Deathcap
1520921,2015-05-21,19715,Gena Bentall,research,36.79812,-121.6865833333,Amanita phalloides,Deathcap
1558952,2015-05-25,83259,Claudia Vieira,research,38.11696747,-122.87552171,Amanita phalloides,Deathcap
1646197,2010-11-08,3494,Damon Tighe,research,37.925775,-122.019535,Amanita phalloides,Deathcap
2021297,2015-10-01,77622,Kyle Hammon,research,46.1415945,-122.9387133333,Amanita phalloides,Deathcap
2408175,2015-11-22,5179,Christian Schwarz,research,36.997274,-122.050917,Amanita phalloides,Deathcap
2408177,2015-11-22,155347,Gus Koshy,research,36.9972962654,-122.0510752314,Amanita phalloides,Deathcap
2408178,2015-11-22,155348,Salem Matzinger,research,36.99724821,-122.05094775,Amanita phalloides,Deathcap
2492948,2015-12-20,13979,Liam O'Brien,research,37.308025,-122.18888,Amanita phalloides,Deathcap
2513102,2015-12-27,38280,Dominic,research,38.150089,-121.290158,Amanita phalloides,Deathcap
2559706,2016-01-05,2873,James Maughn,research,36.8800901364,-121.8969430404,Amanita phalloides,Deathcap
2564341,2016-01-07,3494,Damon Tighe,research,38.054,-122.806755,Amanita phalloides,Deathcap
2574691,2016-01-11,26610,Robin Gwen Agarwal,research,37.521819,-122.514511,Amanita phalloides,Deathcap
2578223,2016-01-11,5327,Di,research,38.404803,-122.692781,Amanita phalloides,Deathcap
2822413,2016-03-22,5179,Christian Schwarz,research,34.0959388333,-118.7195283333,Amanita phalloides,Deathcap
3420631,2016-06-09,23598,Katherine Wright,research,37.522,-122.5155,Amanita phalloides,Deathcap
3547418,2009-10-15,5179,Christian Schwarz,research,36.9904,-122.059,Amanita phalloides,Deathcap
3547860,2010-10-17,5179,Christian Schwarz,research,36.9904,-122.059,Amanita phalloides,Deathcap
3550094,2014-08-07,5179,Christian Schwarz,research,37.02855,-121.8805,Amanita phalloides,Deathcap
3551957,2014-11-03,5179,Christian Schwarz,research,36.96835,-121.9925,Amanita phalloides,Deathcap
3570828,2015-12-05,5179,Christian Schwarz,research,36.9904,-122.059,Amanita phalloides,Deathcap
3570911,2016-01-05,5179,Christian Schwarz,research,36.99115,-122.053,Amanita phalloides,Deathcap
3571011,2016-01-12,5179,Christian Schwarz,research,36.99115,-122.053,Amanita phalloides,Deathcap
3590671,2010-10-17,258652,"",research,41.7285,-70.6137,Amanita phalloides,Deathcap
3591293,2010-01-30,258652,"",research,38.0848,-122.8675,Amanita phalloides,Deathcap
3591298,2010-01-28,258652,"",research,36.9904,-122.059,Amanita phalloides,Deathcap
3591426,2012-12-22,258652,"",research,36.9904,-122.059,Amanita phalloides,Deathcap
3591445,2012-12-28,258652,"",research,35.27585,-120.6435,Amanita phalloides,Deathcap
4036757,2016-09-02,235833,,research,38.0846656239,-122.8714799881,Amanita phalloides,Deathcap
4082210,2016-09-09,235833,,research,38.0846656239,-122.8714799881,Amanita phalloides,Deathcap
4103009,2016-09-13,5179,Christian Schwarz,research,36.9878916667,-122.0279611667,Amanita phalloides,Deathcap
4440061,2016-10-25,151034,Courtney and Patrick Roach,research,37.4384583333,-122.175775,Amanita phalloides,Deathcap
