id,observed_on,latitude,longitude,scientific_name
3687,2009-11-22,37.3974533081,-122.3164215088,Amanita phalloides
3757,2009-11-28,37.770614624,-122.1232376099,Amanita phalloides
6163,2010-03-20,34.37733078,-118.4418029785,Amanita phalloides
37526,2011-10-28,37.1959117336,-122.2948265076,Amanita phalloides
38441,2011-11-04,37.0277182754,-122.1562957764,Amanita phalloides
38963,2011-11-12,37.842894,-122.190931,Amanita phalloides
39088,2011-11-13,37.1004645102,-122.2782611847,Amanita phalloides
39718,2011-11-19,38.2771568298,-122.2383575439,Amanita phalloides
40260,2011-11-26,37.9436836243,-122.1289901733,Amanita phalloides
40345,2011-11-25,38.6366344623,-122.939157486,Amanita phalloides
93631,2009-11-25,36.82092,-121.734653,Amanita phalloides
157404,2012-12-04,38.570197,-122.688833,Amanita phalloides
158117,2012-12-04,38.570119,-122.688828,Amanita phalloides
159819,2012-12-08,37.844527,-122.192371,Amanita phalloides
162310,2012-12-14,37.0870873,-122.0638586,Amanita phalloides
171264,2013-01-01,36.9506634495,-121.7058134079,Amanita phalloides
211064,2010-12-06,36.9998194,-122.0018649,Amanita phalloides
318205,2013-06-26,47.653565,-122.312443,Amanita phalloides
366314,2013-08-09,37.896206,-122.252276,Amanita phalloides
606665,2014-04-02,37.9135,-122.2586666667,Amanita phalloides
634810,2014-04-20,37.916632,-122.258912,Amanita phalloides
691505,2010-12-06,37.813852,-122.16615,Amanita phalloides
694380,2014-05-17,37.8068283333,-122.2600116667,Amanita phalloides
818082,2014-08-05,37.80562,-122.2583,Amanita phalloides
822030,2014-08-07,37.8057866667,-122.2581033333,Amanita phalloides
860396,2014-09-02,37.895921,-122.587166,Amanita phalloides
1047040,2014-10-30,37.9093333333,-122.2676666667,Amanita phalloides
1053081,2014-11-02,37.05704,-122.091923,Amanita phalloides
1066913,2014-11-02,38.604766,-123.359428,Amanita phalloides
1067560,2014-11-10,37.79193,-122.168595,Amanita phalloides
1067561,2014-11-10,37.79195,-122.16828,Amanita phalloides
1071853,2014-11-11,40.5938833333,-122.3819283333,Amanita phalloides
1100827,2014-11-28,37.778589,-122.134364,Amanita phalloides
1101019,2014-11-27,36.987583,-122.095326,Amanita phalloides
1101458,2014-11-28,37.723625,-122.092348,Amanita phalloides
1107506,2014-12-01,37.081893,-122.06189,Amanita phalloides
1110712,2014-12-02,37.7833133333,-122.1420221667,Amanita phalloides
1123759,2014-12-09,38.136891,-121.275287,Amanita phalloides
1130674,2014-12-14,37.111582,-121.966352,Amanita phalloides
1131620,2014-12-14,37.8054979351,-122.154570697,Amanita phalloides
1131621,2014-12-14,37.805114,-122.154354,Amanita phalloides
1138237,2014-12-18,37.7550152737,-122.0523104262,Amanita phalloides
1144213,2014-12-20,37.753345,-122.1304028333,Amanita phalloides
1144253,2014-12-20,37.7526283333,-122.1415166667,Amanita phalloides
1145851,2014-12-25,37.811894,-122.131272,Amanita phalloides
1147386,2014-12-26,37.4108483333,-122.2615183333,Amanita phalloides
1149751,2014-12-28,37.753116,-122.131041,Amanita phalloides
1150589,2014-12-21,37.77297,-122.1296916667,Amanita phalloides
1150606,2014-12-21,37.7766533333,-122.1327888333,Amanita phalloides
1150612,2014-12-22,37.7664666667,-122.2728416667,Amanita phalloides
1151216,2014-12-29,36.8014033333,-121.68387,Amanita phalloides
1159571,2015-01-03,37.977826,-122.556495,Amanita phalloides
1166960,2015-01-07,38.447577,-122.518311,Amanita phalloides
1270228,2014-12-31,37.892767,-122.242451,Amanita phalloides
1520921,2015-05-21,36.79812,-121.6865833333,Amanita phalloides
1558952,2015-05-25,38.11696747,-122.87552171,Amanita phalloides
1646197,2010-11-08,37.925775,-122.019535,Amanita phalloides
2021297,2015-10-01,46.1415945,-122.9387133333,Amanita phalloides
2408175,2015-11-22,36.997274,-122.050917,Amanita phalloides
2408177,2015-11-22,36.9972962654,-122.0510752314,Amanita phalloides
2408178,2015-11-22,36.99724821,-122.05094775,Amanita phalloides
2492948,2015-12-20,37.308025,-122.18888,Amanita phalloides
2513102,2015-12-27,38.150089,-121.290158,Amanita phalloides
2559706,2016-01-05,36.8800901364,-121.8969430404,Amanita phalloides
2564341,2016-01-07,38.054,-122.806755,Amanita phalloides
2574691,2016-01-11,37.521819,-122.514511,Amanita phalloides
2578223,2016-01-11,38.404803,-122.692781,Amanita phalloides
2822413,2016-03-22,34.0959388333,-118.7195283333,Amanita phalloides
3420631,2016-06-09,37.522,-122.5155,Amanita phalloides
3547418,2009-10-15,36.9904,-122.059,Amanita phalloides
3547860,2010-10-17,36.9904,-122.059,Amanita phalloides
3550094,2014-08-07,37.02855,-121.8805,Amanita phalloides
3551957,2014-11-03,36.96835,-121.9925,Amanita phalloides
3570828,2015-12-05,36.9904,-122.059,Amanita phalloides
3570911,2016-01-05,36.99115,-122.053,Amanita phalloides
3571011,2016-01-12,36.99115,-122.053,Amanita phalloides
3590671,2010-10-17,41.7285,-70.6137,Amanita phalloides
3591293,2010-01-30,38.0848,-122.8675,Amanita phalloides
3591298,2010-01-28,36.9904,-122.059,Amanita phalloides
3591426,2012-12-22,36.9904,-122.059,Amanita phalloides
3591445,2012-12-28,35.27585,-120.6435,Amanita phalloides
4036757,2016-09-02,38.0846656239,-122.8714799881,Amanita phalloides
4082210,2016-09-09,38.0846656239,-122.8714799881,Amanita phalloides
4103009,2016-09-13,36.9878916667,-122.0279611667,Amanita phalloides
4440061,2016-10-25,37.4384583333,-122.175775,Amanita phalloides
4483804,2016-11-02,37.8082783333,-122.2611916667,Amanita phalloides
4505898,2016-11-06,36.4818216667,-121.7406083333,Amanita phalloides
4509512,2016-11-06,36.4818619808,-121.740461872,Amanita phalloides
4513819,2016-11-07,37.80833,-122.2612383333,Amanita phalloides
4514591,2016-11-07,38.4067139961,-122.8458659818,Amanita phalloides
4514820,2014-11-24,37.9319620681,-122.6808714867,Amanita phalloides
4514830,2016-11-07,36.954525,-121.8647783333,Amanita phalloides
4531735,2016-11-11,38.63434347,-121.33884894,Amanita phalloides
4573453,2016-11-14,36.999831493,-121.9377069848,Amanita phalloides
4575186,2016-11-14,45.4992133333,-122.840325,Amanita phalloides alba
4577118,2016-11-15,37.0818445,-122.0614083333,Amanita phalloides
4579305,2016-11-15,37.0838805,-122.0616221667,Amanita phalloides
4579652,2016-11-15,37.0847841118,-122.0618527557,Amanita phalloides
4584262,2016-11-16,37.0255646529,-121.74549778,Amanita phalloides
4584810,2016-11-16,37.0256502626,-121.7457263897,Amanita phalloides
4584842,2016-11-15,37.9597473145,-122.6115264893,Amanita phalloides
4585788,2008-12-14,38.65454699,-120.8672904968,Amanita phalloides
4585789,2008-12-14,38.65454699,-120.8672904968,Amanita phalloides
4588358,2016-11-16,37.7886984637,-122.135312101,Amanita phalloides
4589837,2016-11-17,36.9918208709,-122.0542071295,Amanita phalloides
4591092,2016-11-17,37.0353888333,-121.746605,Amanita phalloides
4592080,2016-11-17,37.1991592584,-122.2877025604,Amanita phalloides
4592106,2016-11-17,37.1975169256,-122.2920140773,Amanita phalloides
4602901,2016-11-19,37.0207651457,-121.914698481,Amanita phalloides
4609146,2016-11-19,37.0901111667,-122.2620466667,Amanita phalloides
4609217,2016-11-20,36.9637177,-121.8391808,Amanita phalloides
4609371,2016-11-19,37.0884695,-122.2639783333,Amanita phalloides
4611327,2016-11-21,37.0003433386,-121.9834193588,Amanita phalloides
4612767,2016-11-21,36.99628309,-122.06707527,Amanita phalloides
4614397,2016-11-21,37.8650054932,-122.5199508667,Amanita phalloides
4614579,2016-11-20,37.786995,-122.1622,Amanita phalloides
4614580,2016-11-20,37.7848583333,-122.1574028333,Amanita phalloides
4614581,2016-11-20,37.7825866667,-122.1549528333,Amanita phalloides
