id,time_observed_at,user_id,user_name,latitude,longitude,scientific_name
16450375,2018-09-12 13:58:36 UTC,737697,Tomas Pocius,55.9272689574,21.0585081205,Aureoboletus projectellus
16873459,2018-09-16 07:18:21 UTC,281423,Almantas Kulbis,55.340039636,21.0258515552,Aureoboletus projectellus
17230791,2018-09-25 10:22:00 UTC,1244231,Arūnas Juknevičius,54.8920139293,24.9536992942,Aureoboletus projectellus
32221127,2019-09-05 12:23:31 UTC,2146224,,55.745025077,8.2519900426,Aureoboletus projectellus
32221348,2019-09-05 08:43:32 UTC,2146224,,55.7615783333,8.21315,Aureoboletus projectellus
34055471,2019-10-08 07:27:28 UTC,2290685,Helios Morgan,54.604009561,18.8076014414,Aureoboletus projectellus
48997233,2017-08-05 08:30:17 UTC,1880699,Enrico Tomschke,51.6287216667,14.35792,Aureoboletus projectellus
49134552,2018-09-09 10:40:26 UTC,1087824,Ekle,55.7514305114,21.1225547789,Aureoboletus projectellus
52353452,,3300920,Petter Broby,60.3640924331,5.1863984013,Aureoboletus projectellus
52353453,,3300920,Petter Broby,60.364055806,5.1863662148,Aureoboletus projectellus
52353454,,3300920,Petter Broby,60.3640215771,5.1863608514,Aureoboletus projectellus
52353457,,3300920,Petter Broby,60.364099958,5.1863903572,Aureoboletus projectellus
52353458,,3300920,Petter Broby,60.3640135309,5.1862937977,Aureoboletus projectellus
56494139,2020-08-15 09:14:24 UTC,2293396,,54.630113014,18.7737782427,Aureoboletus projectellus
58587304,2020-09-04 10:41:30 UTC,3174938,Daniel Ace,52.348745,15.934744,Aureoboletus projectellus
58704389,,3568411,,52.2608582806,21.2722976661,Aureoboletus projectellus
58704390,,3568411,,52.2611144708,21.2724714621,Aureoboletus projectellus
58704391,,3568411,,52.2599081149,21.2727941125,Aureoboletus projectellus
58704393,,3568411,,52.2605936225,21.2717823076,Aureoboletus projectellus
59866879,2020-09-17 12:36:38 UTC,2269579,Jonas Šiurys,55.3552483333,21.0505966667,Aureoboletus projectellus
60057299,2020-09-19 11:38:20 UTC,299886,Adam Kumiszcza,54.5564628376,18.4019187252,Aureoboletus projectellus
60178268,2020-09-20 08:11:43 UTC,3303021,Dalia Dambrauskaite,55.36785,21.05644167,Aureoboletus projectellus
60180360,2020-09-20 12:59:56 UTC,3193475,Rasa Zubrickienė,54.1841542258,24.3139571697,Aureoboletus projectellus
60816467,2020-09-26 08:49:00 UTC,3383684,,54.9927169551,15.062939236,Aureoboletus projectellus
61308936,2020-09-30 14:42:45 UTC,1198134,Paulius Rupšas,55.7820701389,21.0745868611,Aureoboletus projectellus
61941065,2020-10-07 10:50:32 UTC,3383684,,54.9953083043,15.0678073615,Aureoboletus projectellus
90820643,2021-08-11 15:59:49 UTC,4686685,Dzianis Krupin,51.7761094989,23.9891238883,Aureoboletus projectellus
92441177,2021-08-24 11:05:55 UTC,4419964,Vilius Martinaitis,55.0467021667,25.5097943611,Aureoboletus projectellus
92765939,2021-08-28 06:30:31 UTC,3078335,Gabrielė Stanaitytė,55.5579277613,21.1132212604,Aureoboletus projectellus
92903294,2021-08-29 06:21:00 UTC,3078335,Gabrielė Stanaitytė,55.5709633,21.1122021,Aureoboletus projectellus
92903325,2021-08-29 06:30:12 UTC,3078335,Gabrielė Stanaitytė,55.5583703,21.1156029,Aureoboletus projectellus
93143010,2021-08-31 12:55:48 UTC,4771892,,55.5830671626,21.111472639,Aureoboletus projectellus
93456187,2021-09-02 17:37:28 UTC,4678626,Lina Ribinskė,55.2933299722,20.9794669722,Aureoboletus projectellus
93559296,2021-09-04 07:58:38 UTC,2951322,Инесса Мечинская,57.0330087,23.4500741,Aureoboletus projectellus
94830354,2021-09-14 08:13:03 UTC,4632344,,55.1807133333,20.8624533333,Aureoboletus projectellus
95147533,2021-09-17 13:40:26 UTC,3522731,Iza Pawlęty,54.1051888889,15.1442805556,Aureoboletus projectellus
95417624,2021-09-17 10:45:10 UTC,2213529,Morten Christensen,54.994675,15.0681221667,Aureoboletus projectellus
96057838,2021-09-25 08:38:04 UTC,4420864,,54.78522649,17.73759234,Aureoboletus projectellus
